里程,發生次數
331.7,2
331.9,1
332.0,1
332.2,3
332.5,1
332.6,2
332.7,1
332.9,1
333.0,1
333.1,1
333.2,1
333.4,2
333.5,1
333.7,2
333.8,1
333.9,3
334.0,3
334.2,3
334.3,2
334.4,3
334.5,1
334.6,2
334.7,3
334.9,2
335.0,11
335.1,6
335.3,3
335.4,2
335.5,1
335.6,1
335.8,1
336.0,1
336.2,1
336.4,3
336.5,2
336.6,1
336.7,3
336.8,4
337.0,1
337.1,2
337.2,4
337.3,1
337.4,5
337.5,6
337.6,10
337.7,5
337.8,4
337.9,6
338.0,9
338.1,5
338.2,5
338.3,21
338.4,4
338.5,3
338.7,3
338.8,1
338.9,6
339.0,11
339.1,4
339.2,17
339.3,3
339.4,1
339.5,4
339.6,2
339.8,3
339.9,1
340.0,7
340.2,7
340.4,2
340.5,7
340.6,5
340.7,5
340.8,12
340.9,6
341.0,11
341.1,3
341.2,4
341.3,1
341.4,2
341.5,6
341.6,7
341.7,3
342.0,3
342.2,2
342.3,18
342.4,10
342.5,1
342.6,4
342.7,1
342.8,2
342.9,1
343.0,3
343.1,1
343.2,1
343.3,1
343.4,2
343.5,2
343.6,1
343.7,1
343.8,1
343.9,3
344.0,3
344.1,2
344.3,2
344.4,2
344.5,1
344.6,5
344.7,6
344.8,1
344.9,3
345.0,3
345.4,3
345.5,4
345.6,2
345.7,2
345.8,3
345.9,1
346.0,2
346.1,4
346.2,8
346.3,4
346.4,4
346.5,3
346.6,4
346.7,5
346.8,1
346.9,1
347.0,4
347.1,2
347.2,1
347.3,1
347.5,1
347.6,1
347.7,4
347.9,1
348.0,3
348.1,1
348.2,3
348.4,1
348.5,4
348.6,6
348.7,1
348.8,1
349.0,1
349.1,2
349.2,2
349.4,14
349.5,2
349.6,2
349.7,2
349.8,3
350.0,3
350.1,1
350.2,6
350.3,5
350.4,9
350.5,1
350.7,1
351.0,2
351.1,4
351.2,1
351.3,3
351.4,3
351.5,2
351.6,3
351.7,1
351.8,2
351.9,1
352.0,1
352.1,3
352.2,1
352.5,5
352.6,1
352.8,2
352.9,3
353.0,6
353.1,2
353.2,1
353.3,2
353.4,2
353.5,4
353.6,2
353.7,4
353.9,1
354.0,1
354.1,1
354.4,4
354.5,1
354.6,1
354.7,1
355.3,2
355.4,1
355.5,1
355.7,2
355.8,1
355.9,1
356.0,1
356.2,20
356.5,1
356.7,1
356.9,1
357.0,1
357.3,1
357.5,1
357.6,1
357.7,2
357.8,4
358.0,4
358.1,3
358.7,2
358.8,1
359.0,3
359.4,2
360.0,1
360.1,4
360.2,1
360.3,1
360.4,1
360.5,1
360.6,2
360.7,1
361.0,2
361.1,1
361.2,3
361.3,1
361.4,3
361.5,2
361.6,2
361.7,2
361.9,2
362.4,44
362.6,1
362.8,2
362.9,1
363.1,1
363.3,5
363.4,3
363.5,1
363.6,2
363.7,2
364.0,4
364.1,1
364.2,5
364.3,2
364.4,1
364.5,2
364.6,4
364.7,5
364.8,2
364.9,3
365.0,7
365.1,2
365.2,3
365.3,6
365.4,2
365.5,11
365.6,4
365.7,4
365.8,1
365.9,5
366.0,5
366.1,9
366.2,9
366.3,1
366.4,6
366.5,3
366.6,2
366.7,6
366.8,3
366.9,2
367.0,6
367.1,2
367.2,1
367.4,69
367.6,1
367.8,1
367.9,1
368.0,2
368.2,4
368.3,4
368.4,3
368.5,4
368.6,2
368.7,1
368.8,4
368.9,1
369.0,1
369.1,2
369.2,2
369.3,2
369.4,1
369.5,3
369.6,5
369.8,7
369.9,5
370.0,15
370.1,7
370.2,4
370.4,7
370.8,1
371.8,8
372.0,2
372.3,1
372.4,1
372.5,1
372.6,1
372.7,4
372.8,8
372.9,4
373.0,3
373.1,4
373.2,2
373.7,1
374.4,1
